t,xdot,beta,history
9.74,0.013742661773247561,1.0,True
9.75,0.013723745205432042,1.0,True
9.76,0.013704996679379433,1.0,True
9.77,0.013685920514785375,1.0,True
9.78,0.013666947664747789,1.0,True
9.790000000000001,0.013648289558536279,1.0,True
9.8,0.013629420751259098,1.0,True
9.81,0.013610746817892832,1.0,True
9.82,0.01359247783926001,1.0,True
9.83,0.01357371266594101,1.0,True
9.84,0.013554814309455132,1.0,True
9.85,0.013536668532796241,1.0,True
9.86,0.013518198678799987,1.0,True
9.870000000000001,0.013499753303596092,1.0,True
9.88,0.013481322768468973,1.0,True
9.89,0.013462817862519448,1.0,True
9.9,0.01344462877042932,1.0,True
9.91,0.013426298635623677,1.0,True
9.92,0.01340791647421769,1.0,True
9.93,0.013389710024963962,1.0,True
9.94,0.013371619971470737,1.0,True
9.950000000000001,0.013353578223441423,1.0,True
9.96,0.01333521544321449,1.0,True
9.97,0.013317145615078373,1.0,True
9.98,0.013299413110886922,1.0,True
9.99,0.013281487541979217,1.0,True
10.0,0.013263644703008545,1.0,True
10.01,0.013245706300144738,1.0,True
10.02,0.013227813465365695,1.0,True
10.03,0.01320998630657474,1.0,True
10.040000000000001,0.013192239410077623,1.0,True
10.05,0.013174650777925128,1.0,True
10.06,0.013156795170404528,1.0,True
10.07,0.01313905242105948,1.0,True
10.08,0.013121809777242087,1.0,True
10.09,0.013104275239421639,1.0,True
10.1,0.01308645477337237,1.0,True
10.11,0.013069040917531843,1.0,True
10.120000000000001,0.013051630131720398,1.0,True
10.13,0.013034420397202623,1.0,True
10.14,0.01301719949312146,1.0,True
10.15,0.012999603625507686,1.0,True
10.16,0.012982280089539413,1.0,True
10.17,0.012965027462949526,1.0,True
10.18,0.012947905922060396,1.0,True
10.19,0.0129309666128057,1.0,True
10.200000000000001,0.012913901145613759,1.0,True
10.21,0.012896713137019898,1.0,True
10.22,0.012879633114539523,1.0,True
10.23,0.012862434572911531,1.0,True
10.24,0.012845609429386458,1.0,True
10.25,0.012828663380556304,1.0,True
10.26,0.012811587103200366,1.0,True
10.27,0.012794788094645404,1.0,True
10.28,0.012777742926175789,1.0,True
10.290000000000001,0.012760837451711757,1.0,True
10.3,0.012744175471703064,1.0,True
10.31,0.012727665269364833,1.0,True
10.32,0.012710892009471128,1.0,True
10.33,0.012693931369272608,1.0,True
10.34,0.012677512753312095,1.0,True
10.35,0.012660924835733247,1.0,True
10.36,0.012644015397187092,1.0,True
10.370000000000001,0.012627792025973824,1.0,True
10.38,0.012611399226094616,1.0,True
10.39,0.012595018827987072,1.0,True
10.4,0.01257859406029015,1.0,True
10.41,0.012562438587941156,1.0,True
10.42,0.012546056395648963,1.0,True
10.43,0.012529746324207272,1.0,True
10.44,0.012513551601796987,1.0,True
10.450000000000001,0.012496935018029494,1.0,True
10.46,0.012480565964441715,1.0,True
10.47,0.012464635412813833,1.0,True
10.48,0.012448708296202184,1.0,True
10.49,0.012432533466830683,1.0,True
10.5,0.012416326279859738,1.0,True
10.51,0.012400194799147607,1.0,True
10.52,0.012384122293829644,1.0,True
10.53,0.012367983791947394,1.0,True
10.540000000000001,0.012352355757462526,1.0,True
10.55,0.012336340782098616,1.0,True
10.56,0.012320387882681368,1.0,True
10.57,0.012304402271807038,1.0,True
10.58,0.012288789567096992,1.0,True
10.59,0.012272853889566478,1.0,True
10.6,0.012257075798894557,1.0,True
10.61,0.012241182556965588,1.0,True
10.620000000000001,0.012225717367468277,1.0,True
10.63,0.012210315439468874,1.0,True
10.64,0.012194551231178552,1.0,True
10.65,0.012179075080966056,1.0,True
10.66,0.012163825380840616,1.0,True
10.67,0.012148360603583043,1.0,True
10.68,0.012132864557755921,1.0,True
10.69,0.012117471252966899,1.0,True
10.700000000000001,0.012102256262911377,1.0,True
10.71,0.012086828249448704,1.0,True
10.72,0.012071535417969462,1.0,True
10.73,0.012056338821239803,1.0,True
10.74,0.012041084027940586,1.0,True
10.75,0.012025654838550684,1.0,True
10.76,0.012010421301348106,1.0,True
10.77,0.011995466385827868,1.0,True
10.78,0.011980063735762752,1.0,True
10.790000000000001,0.011964877166015516,1.0,True
10.8,0.01195016102834225,1.0,True
10.81,0.011935125590043063,1.0,True
10.82,0.011920056022223919,1.0,True
10.83,0.011904989369175849,1.0,True
10.84,0.011890381063531793,1.0,True
10.85,0.011875597949818847,1.0,True
10.86,0.011860700606645107,1.0,True
10.870000000000001,0.011845832738491824,1.0,True
10.88,0.011831321467089088,1.0,True
10.89,0.011816402763230276,1.0,True
10.9,0.011801713087231033,1.0,True
10.91,0.011787172806169836,1.0,True
10.92,0.011772428892056758,1.0,True
10.93,0.011758003881754912,1.0,True
10.94,0.011743527860419455,1.0,True
10.950000000000001,0.011728696838937057,1.0,True
10.96,0.01171379688744432,1.0,True
10.97,0.011699296930990272,1.0,True
10.98,0.011684783541729324,1.0,True
10.99,0.01167022337501616,1.0,True
11.0,0.01165593098278856,1.0,True
11.01,0.011641547870716988,1.0,True
11.02,0.011626854123908448,1.0,True
11.03,0.011612313400487215,1.0,True
11.040000000000001,0.011598222855117536,1.0,True
11.05,0.011583931050525515,1.0,True
11.06,0.011569508780757517,1.0,True
11.07,0.0115554452672305,1.0,True
11.08,0.011541643766570728,1.0,True
11.09,0.011527220159178005,1.0,True
11.1,0.011512710076132552,1.0,True
11.11,0.011498696469515473,1.0,True
11.120000000000001,0.011485032673040341,1.0,True
11.13,0.011470753587421544,1.0,True
11.14,0.011456606880319182,1.0,True
11.15,0.011442654466529917,1.0,True
11.16,0.011428297159733421,1.0,True
11.17,0.01141403016183123,1.0,True
11.18,0.011399926456577976,1.0,True
11.19,0.011385922448342927,1.0,True
11.200000000000001,0.0113731143375131,1.0,True
11.21,0.011359041114766396,1.0,True
11.22,0.011345095874062086,1.0,True
11.23,0.011331726216426722,1.0,True
11.24,0.01131820340920906,1.0,True
11.25,0.011303953635649091,1.0,True
11.26,0.011290513159435231,1.0,True
11.27,0.011276887339688284,1.0,True
11.28,0.011263190040768865,1.0,True
11.290000000000001,0.011249714225807958,1.0,True
11.3,0.011236105192561662,1.0,True
11.31,0.011223202876300735,1.0,True
11.32,0.011209991947576717,1.0,True
11.33,0.01119608323459541,1.0,True
11.34,0.011182263667885516,1.0,True
11.35,0.011168418637093693,1.0,True
11.36,0.011154495909351643,1.0,True
11.370000000000001,0.011141393260919187,1.0,True
11.38,0.011128100978305818,1.0,True
11.39,0.0111145146277334,1.0,True
11.4,0.011101220548191343,1.0,True
11.41,0.011088308023606889,1.0,True
11.42,0.011075061159051417,1.0,True
11.43,0.011061577366984253,1.0,True
11.44,0.01104886191944099,1.0,True
11.450000000000001,0.01103564467584089,1.0,True
11.46,0.011022351817671147,1.0,True
11.47,0.011009227248811159,1.0,True
11.48,0.01099638519844836,1.0,True
11.49,0.010983325861394522,1.0,True
11.5,0.010970427883977469,1.0,True
11.51,0.01095752142112472,1.0,True
11.52,0.010944571950715918,1.0,True
11.53,0.010931328306126501,1.0,True
11.540000000000001,0.010918394147835441,1.0,True
11.55,0.010905212286574817,1.0,True
11.56,0.010892111877923756,1.0,True
11.57,0.010879489583633748,1.0,True
11.58,0.010866260890733188,1.0,True
11.59,0.010853664081170316,1.0,True
11.6,0.010841373841846965,1.0,True
11.61,0.01082853169441233,1.0,True
11.620000000000001,0.010815716299218802,1.0,True
11.63,0.01080344697529416,1.0,True
11.64,0.010790565318844824,1.0,True
11.65,0.010777674546824271,1.0,True
11.66,0.0107652342149824,1.0,True
11.67,0.010752644670799182,1.0,True
11.68,0.010739744598956909,1.0,True
11.69,0.01072721667463774,1.0,True
11.700000000000001,0.010714922622590661,1.0,True
11.71,0.01070175593147737,1.0,True
11.72,0.010688987124744559,1.0,True
11.73,0.010676185987441543,1.0,True
11.74,0.01066422211869979,1.0,True
11.75,0.0106514643368697,1.0,True
11.76,0.010638574100743611,1.0,True
11.77,0.010626356790170184,1.0,True
11.78,0.010614040932857683,1.0,True
11.790000000000001,0.010601688743076036,1.0,True
11.8,0.01058976176041957,1.0,True
11.81,0.010577749356338513,1.0,True
11.82,0.010565499440321712,1.0,True
11.83,0.010553283503037057,1.0,True
11.84,0.010541167753245028,1.0,True
11.85,0.01052832950037259,1.0,True
11.86,0.01051612485858608,1.0,True
11.870000000000001,0.010504039728816944,1.0,True
11.88,0.01049231019803865,1.0,True
11.89,0.010480003338281715,1.0,True
11.9,0.010467689716743457,1.0,True
11.91,0.010455918797273056,1.0,True
11.92,0.010443698604265961,1.0,True
11.93,0.0104315185005669,1.0,True
11.94,0.010419981191537902,1.0,True
11.950000000000001,0.010407958971308192,1.0,True
11.96,0.010395550284117703,1.0,True
11.97,0.010383235834527268,1.0,True
11.98,0.010371998147031613,1.0,True
11.99,0.010360115714928146,1.0,True
12.0,0.010347792301709586,1.0,True
12.01,0.01033632670910255,1.0,True
12.02,0.010324212002988808,1.0,True
12.030000000000001,0.010312791513694467,1.0,True
12.040000000000001,0.010301065245753752,1.0,True
12.05,0.010289398323493288,1.0,True
12.06,0.010278161991677111,1.0,True
12.07,0.01026613264080769,1.0,True
12.08,0.010254631978866793,1.0,True
12.09,0.010242891643040774,1.0,True
12.1,0.010231964450313803,1.0,True
12.11,0.01021994435391684,1.0,True
12.120000000000001,0.010207935411970577,1.0,True
12.13,0.01019624968993356,1.0,True
12.14,0.010185049374783492,1.0,True
12.15,0.010173594370759239,1.0,True
12.16,0.01016187025704043,1.0,True
