t,x,z,xdot,zdot,x_crossings,z_crossings
3.105,0.12844601019823318,-0.3464107085623213,0.5071215148654494,0.38645764079152334,,
3.11,0.13105306104068995,-0.3445500891734189,0.5353307831670197,0.3575867081060246,,
3.115,0.13379672264612713,-0.34283789561329203,0.5617545364120643,0.3271095637410628,,
3.12,0.13666783488826564,-0.34128188692983136,0.5863011067617473,0.29513562744017313,,
3.125,0.13965679605024992,-0.3398892619499159,0.6088855594252838,0.2617794863552619,,
3.13,0.1427535972338557,-0.33866663446415196,0.6294299853185981,0.227160485017118,,
3.1350000000000002,0.14594785816941067,-0.3376200105012726,0.6478637686051447,0.1914022987696285,,
3.14,0.14922886429855534,-0.3367547677749377,0.6641238282045357,0.15463249274321111,,
3.145,0.15258560499756157,-0.33607563736749374,0.67815483245391,0.11698206753425355,,
3.15,0.15600681280514203,-0.3355866877161418,0.6899093862005642,0.0785849934938144,,
3.1550000000000002,0.15948100351529748,-0.33529131095217274,0.6993481896990367,0.03957773500193697,,
3.16,0.16299651699285514,-0.33519221164099994,0.7064401687906048,9.876662373836664e-05,,
3.165,0.1665415585670227,-0.3352913979577566,0.7111625759365798,-0.039711917330977765,,
3.17,0.17010424085635056,-0.335590175328416,0.7135010617871995,-0.07971329792195422,,
3.1750000000000003,0.17367262587721446,-0.3360891425541621,0.7134497170642479,-0.11976382992724166,,
3.18,0.17723476728703338,-0.33678819043259134,0.7110110846437143,-0.1597219413380987,,
3.185,0.180778752613164,-0.3376865028749039,0.7061961418257292,-0.19944653256490985,,
3.19,0.18429274531858633,-0.33878256051541206,0.6990242528867483,-0.23879747337059293,,
3.1950000000000003,0.18776502655625388,-0.34007414679590187,0.6895230921076843,-0.27763609606677364,,
3.2,0.1911840364651778,-0.3415583565035814,0.6777285375789285,-0.3158256828845487,,
3.205,0.19453841486310536,-0.34323160672696856,0.6636845361815923,-0.353231946283362,,
3.21,0.1978170411928771,-0.3450896501930929,0.6474429402477094,-0.3897235000649917,,
3.215,0.2010090735823298,-0.3471275909328361,0.6290633164951296,-0.4251723200301881,,
3.22,0.20410398688080172,-0.3493399022207825,0.6086127279396177,-0.4594541923480687,,
3.225,0.20709160953910494,-0.3517204467223856,0.5861654895642379,-0.49244914814816765,,
3.23,0.20996215920386296,-0.354262498776548,0.5618028986390157,-0.5240418828871006,,
3.235,0.2127062769019328,-0.3569587687339534,0.5356129406469465,-0.5541221588603893,,
3.24,0.21531505969546477,-0.3598014292624268,0.5076899718842267,-0.5825851897027673,,
3.245,0.21778009169387358,-0.3627821435273572,0.4781343798567824,-0.6093320052579879,,
3.25,0.2200934733146207,-0.36589209514402027,0.4470522226982287,-0.6342697958387152,,
3.255,0.22224784869119232,-0.3691220197976355,0.4145548488838344,-0.6573122343694946,,
3.2600000000000002,0.2242364311330425,-0.37246223841570586,0.3807584986050553,-0.6783797755730447,,
3.265,0.22605302654940337,-0.37590269177714825,0.345783888215372,-0.6973999309675417,,
3.27,0.22769205475594165,-0.37943297643337,0.3097557792306031,-0.7143075187844321,,
3.275,0.22914856859089297,-0.38304238181438105,0.2728025334114389,-0.7290448879393406,,
3.2800000000000002,0.23041827077499727,-0.3867199283880859,0.2350556555112464,-0.7415621152285692,,
3.285,0.23149752845763422,-0.3904544067368983,0.19664932530995702,-0.7518171751427303,,
3.29,0.23238338539972017,-0.3942344174136993,0.157719920596945,-0.7597760816235948,,
3.295,0.23307357175235627,-0.3980484114350334,0.11840553279148112,-0.7654130013082402,,
3.3000000000000003,0.23356651139869075,-0.4018847312682941,0.07884547692324712,-0.7687103378950981,,
3.305,0.2338613268351723,-0.405731652167783,0.03917979770326161,-0.7696587872500253,,
3.31,0.23395784157698915,-0.40957742371235395,-0.0004512265567258337,-0.7682573632465605,,
3.315,0.23385658008138888,-0.41341031139908146,-0.0399075804275676,-0.7645133940093124,,
3.3200000000000003,0.233558765191218,-0.41721863814346455,-0.07905000648286784,-0.7584424888095771,,
3.325,0.23306631310994777,-0.42099082554125794,-0.117740497310191,-0.7500684756036295,,
3.33,0.23238182592805345,-0.4247154347445816,-0.15584278266583412,-0.7394233095542179,,
3.335,0.23150858172940117,-0.4283812068088053,-0.19322281005760591,-0.7265469527232278,,
3.34,0.2304505223147251,-0.43197710236621567,-0.22974921704899584,-0.7114872255418948,,
3.345,0.22921223858783576,-0.43549234048774194,-0.2652937936239112,-0.6942996304808738,,
3.35,0.22779895365831324,-0.43891643659441104,-0.2997319329717283,-0.6750471486235504,,
3.355,0.22621650372264152,-0.4422392392853932,-0.3329430691102174,-0.6538000098610768,,
3.36,0.2244713167934303,-0.44545096595257333,-0.36481109979570026,-0.6306354375167361,,
3.365,0.2225703893540985,-0.4485422370560006,-0.39522479323872395,-0.6056373683949918,,
3.37,0.22052126102355246,-0.45150410894021825,-0.42407817718671587,-0.5788961491653629,,
3.375,0.21833198732253023,-0.45432810507524624,-0.4512709090141689,-0.5505082102814689,,
3.38,0.21601111063980855,-0.45700624561349745,-0.4767086255140309,-0.5205757185175197,,
3.3850000000000002,0.2135676295029212,-0.45953107515817504,-0.500303271171962,-0.4892062095051728,,
3.39,0.21101096626383725,-0.46189568864723585,-0.5219734037697212,-0.45651220138339244,,
3.395,0.20835093331570295,-0.46409375526070373,-0.5416444762564516,-0.4226107912300632,,
3.4,0.20559769796176852,-0.4661195402705717,-0.5592490939029964,-0.3876232354419124,,
3.4050000000000002,0.20276174606238756,-0.467967924754905,-0.574727245850899,-0.35167451584116577,,
3.41,0.19985384459013547,-0.4696344231104994,-0.5880265102536325,-0.3148928928381869,,
3.415,0.1968850032269129,-0.4711151983017616,-0.5991022323080578,-0.2774094473818012,,
3.42,0.19386643514012886,-0.47240707479491834,-0.6079176745652737,-0.23935761335133432,,
3.4250000000000003,0.19080951707790364,-0.47350754913373616,-0.6144441390162816,-0.20087270201756618,,
