t,e_abs,e_rel,order
36.68,0.004925536057033718,0.0013918226504037964,2
36.69,0.004928572185770962,0.0013922028192637085,2
36.7,0.004931609818942206,0.0013925829877130939,2
36.71,0.004934648957257188,0.0013929631557224424,2
36.72,0.004937689601372099,0.0013933433232471107,2
36.73,0.004940731751947621,0.001393723490243733,2
36.74,0.004943775409691319,0.0013941036566821722,2
36.75,0.004946820575313758,0.0013944838225331305,2
36.76,0.0049498672494738254,0.0013948639877527469,2
36.77,0.004952915432831276,0.0013952441522974211,2
36.78,0.0049559651260983285,0.0013956243161383562,2
36.79,0.004959016329982558,0.0013960044792454523,2
36.8,0.0049620690451469066,0.0013963846415760632,2
36.81,0.00496512327225099,0.0013967648030866404,2
36.82,0.004968179012033997,0.0013971449637560525,2
36.83,0.004971236265130089,0.0013975251235336535,2
36.84,0.004974295032253104,0.001397905282391244,2
36.85,0.004977355314114588,0.0013982854403000102,2
36.86,0.004980417111375795,0.0013986655972170483,2
36.87,0.004983480424726321,0.001399045753107465,2
36.88,0.004986545254803663,0.001399425907921797,2
36.89,0.004989611602397249,0.0013998060616532756,2
36.9,0.004992679468144041,0.00140018621425239,2
36.91,0.00499574885273418,0.0014005663656846193,2
36.92,0.004998819756806873,0.0014009465159012283,2
36.93,0.005001892181151867,0.0014013266648957453,2
36.94,0.005004966126409719,0.0014017068126199453,2
36.95,0.005008041593244326,0.001402086959032229,2
36.96,0.005011118582397797,0.0014024671041129749,2
36.97,0.005014197094509749,0.0014028472478139439,2
36.98,0.005017277130322841,0.0014032273901158209,2
36.99,0.005020358690476843,0.0014036075309705875,2
37.0,0.005023441775714053,0.0014039876703589927,2
37.01,0.005026526386701293,0.00140436780824077,2
37.02,0.005029612524080223,0.0014047479445687284,2
37.03,0.005032700188643556,0.0014051280793379733,2
37.04,0.005035789381035458,0.0014055082125022105,2
37.05,0.00503888010194753,0.0014058883440285048,2
37.06,0.005041972352048673,0.0014062684738776975,2
37.07,0.005045066132057144,0.0014066486020245142,2
37.08,0.005048161442691842,0.0014070287284439623,2
37.09,0.0050512582845976236,0.0014074088530905274,2
37.1,0.005054356658518246,0.0014077889759463817,2
37.11,0.005057456565098297,0.001408169096966188,2
37.12,0.005060558005084308,0.001408549216133132,2
37.13,0.005063660979119208,0.0014089293334016803,2
37.14,0.005066765487950078,0.0014093094487554218,2
37.15,0.005069871532248129,0.0014096895621569655,2
37.16,0.0050729791126836845,0.0014100696735688198,2
37.17,0.005076088229977428,0.0014104497829676391,2
37.18,0.005079198884853693,0.0014108298903312254,2
37.19,0.005082311077981594,0.0014112099956221816,2
37.2,0.005085424810033859,0.001411590098804277,2
37.21,0.005088540081734915,0.0014119701998557852,2
37.22,0.005091656893806267,0.0014123502987543148,2
37.23,0.005094775246921324,0.0014127303954642872,2
