t,H_x,H_z,history_x,history_z,delta_t
3.98,0.08371887881737577,-0.1421467670359372,0.08398208003924879,0.09316877149342062,0.01
3.99,0.08455464834448351,-0.14121091015472217,0.08316754683803662,0.09399880584948228,0.01
4.0,0.08538222975413651,-0.14026679091894756,0.08234449276784073,0.09482119973266112,0.01
4.01,0.08620153819984028,-0.139314486160069,0.08151299068938478,0.09563586813609426,0.01
4.0200000000000005,0.08701248956792422,-0.13835407355622562,0.08067311430733426,0.0964427267343213,0.01
4.03,0.087815000485987,-0.13738563162538256,0.07982493816041725,0.09724169189154352,0.01
4.04,0.08860898833113252,-0.13640923971839478,0.0789685376056184,0.09803268066995141,0.01
4.05,0.08939437123809935,-0.13542497801198358,0.07810398882291825,0.0988156108380025,0.01
4.0600000000000005,0.09017106810759092,-0.13443292750163466,0.07723136880421322,0.09959040087859616,0.01
4.07,0.09093899861418366,-0.13343316999441163,0.07635075534620217,0.10035696999719157,0.01
4.08,0.09169808321451493,-0.13242578810169087,0.07546222704780448,0.10111523812980927,0.01
4.09,0.09244824315513972,-0.13141086523181547,0.07456586329302528,0.10186512595109498,0.01
4.1,0.0931894004803754,-0.13038848558266902,0.07366174425844019,0.102606554882259,0.01
4.11,0.09392147804030855,-0.12935873413417023,0.07274995090529046,0.10333944709888865,0.01
4.12,0.09464439949848125,-0.12832169664069124,0.07183056495673945,0.10406372553879084,0.01
4.13,0.0953580893394433,-0.12727745962339446,0.07090366889436694,0.10477931390971396,0.01
4.14,0.09606247287636856,-0.126226110362497,0.06996934596647897,0.10548613669696216,0.01
4.15,0.09675747625877289,-0.12516773688945515,0.06902768017950489,0.10618411917113679,0.01
4.16,0.09744302647995871,-0.12410242797907424,0.06807875627065219,0.10687318739553575,0.01
4.17,0.0981190513841859,-0.12303027314154448,0.06712265971283671,0.10755326823369149,0.01
4.18,0.09878547967421542,-0.12195136261440045,0.0661594767028495,0.10822428935665496,0.01
4.19,0.0994422409182429,-0.12086578735441132,0.0651892941691159,0.1088861792504412,0.01
4.2,0.10008926555759777,-0.1197736390293916,0.06421219975329162,0.10953886722328399,0.01
4.21,0.10072648491330871,-0.1186750100099457,0.06322828178983908,0.11018228341271641,0.01
4.22,0.10135383119339453,-0.11756999336113733,0.06223762931240184,0.11081635879272245,0.01
4.23,0.10197123749955675,-0.11645868283409118,0.06124033206010093,0.11144102518079979,0.01
4.24,0.1025786378345966,-0.11534117285752131,0.06023648044132823,0.11205621524486187,0.01
4.25,0.10317596710838328,-0.11421755852919398,0.05922616552857107,0.11266186251020205,0.01
4.26,0.103763161145168,-0.11308793560731732,0.05820947907888119,0.1132579013661772,0.01
4.2700000000000005,0.10434015668996091,-0.11195240050187037,0.05718651348838666,0.11384426707301998,0.01
4.28,0.10490689141493575,-0.1108110502658569,0.05615736181831554,0.1144208957685775,0.01
