t,x,z,v_x,v_z,u_x,u_z,w_x,w_z,H_x,H_z,H'_x,H'_z
6.11,1.1680603789037824,-0.4081151607879351,0.43677623424838946,1.121208197670588,0.4081151607879351,1.1680603789037824,0.028661073460454378,-0.046852181233194345,0.022355560062254528,0.08235886618791559,-0.12574900962002244,0.038952684889198785
6.12,1.1723743846226877,-0.39688013961231133,0.42601763187627245,1.1257785110530085,0.39688013961231133,1.1723743846226877,0.029137492263961118,-0.0465958735696792,0.021096144094877894,0.08274231116013507,-0.12612837683998934,0.03773426693307602
6.13,1.176580565640726,-0.38559993044412816,0.4152114621093925,1.1302457203092202,0.38559993044412816,1.176580565640726,0.029611531665264368,-0.04633484533150578,0.019832992525454795,0.0831135515265771,-0.12649610835541902,0.036511819497503595
6.140000000000001,1.1806784512155073,-0.3742755667952808,0.40435871204406615,1.1346093329218596,0.3742755667952808,1.1806784512155073,0.03008314524878536,-0.04606911829364768,0.018566221927769456,0.08347254755008515,-0.12685216126777643,0.035285454337993016
6.15,1.1846675805010445,-0.36290808705568056,0.39346037385255594,1.1388688658131787,0.36290808705568056,1.1846675805010445,0.030552286796875383,-0.04579871468786578,0.01729594930009921,0.083819260613337,-0.1271964937590082,0.034055283659792934
6.16,1.1885475025980867,-0.3514985343985977,0.3825174446909674,1.1430238453971084,0.3514985343985977,1.1885475025980867,0.031018910292369695,-0.045523657200978285,0.016022292052589347,0.084153653223281,-0.12752906513351692,0.032821420107414845
6.17,1.1923177766034798,-0.34004795668548776,0.37153092660963316,1.1470738076304814,0.34004795668548776,1.1923177766034798,0.0314829699241454,-0.04524396897299843,0.014745367997428928,0.08447568901548527,-0.12784983570707553,0.031583976754606446
6.18,1.1959779716586705,-0.32855740637031006,0.36050182646230505,1.1510182980633745,0.32855740637031006,1.1959779716586705,0.031944420091994996,-0.04495967359529596,0.01346529533844789,0.0847853327583731,-0.12815876689653227,0.030343067093601128
6.19,1.1995276669972819,-0.3170279404033472,0.3494311558136957,1.1548568718885912,0.3170279404033472,1.1995276669972819,0.03240321541034852,-0.04467079510869065,0.012182192659498221,0.08508255035735729,-0.12845582122625432,0.02909880502517659
6.2,1.2029664519917538,-0.30546062013453384,0.3383199308476792,1.1585890939902646,0.30546062013453384,1.2029664519917538,0.03285931071314535,-0.04437735800148923,0.010896178913922746,0.08536730885887667,-0.12874096232408783,0.02785130484766185
6.21,1.206293926199078,-0.29385651121630424,0.32716917227397935,1.162214538991572,0.29385651121630424,1.206293926199078,0.03331266105767511,-0.04407938720750604,0.00960737341301652,0.08563957645431051,-0.12901415493015317,0.026600681246405244
6.22,1.2095096994055838,-0.28221668350596685,0.3159799052352887,1.1657327913015747,0.28221668350596685,1.2095096994055838,0.033763221729321835,-0.04377690810400914,0.008315895815319737,0.08589932248380476,-0.12927536484442836,0.02534704928384457
6.23,1.2126133916708057,-0.2705422109676149,0.30475315921412205,1.1691434451611622,0.2705422109676149,1.2126133916708057,0.03421094824650717,-0.04346994650964353,0.00702186611612789,0.08614651743998741,-0.12952455905003957,0.024090524388054035
6.24,1.2156046333704142,-0.2588341715735821,0.2934899679365437,1.1724461046880896,0.2588341715735821,1.2156046333704142,0.03465579636296162,-0.043158528682324615,0.005725404634318886,0.08638113297156585,-0.12976170553696287,0.022831222342635016
6.25,1.2184830652381566,-0.24709364720545263,0.2821913692817907,1.1756403839211373,0.24709364720545263,1.2184830652381566,0.0350977220763381,-0.04284268131701929,0.0044266320053886875,0.08660314188684011,-0.12998677342365494,0.021569259276048136
6.26,1.2212483384069626,-0.23532172355463385,0.2708584051825552,1.178725906863339,0.23532172355463385,1.2212483384069626,0.03553668162792137,-0.04252243154362367,0.0031256691658458425,0.08681251815708681,-0.13019973311140115,0.02030475165045953
6.2700000000000005,1.2239001144489399,-0.22351949002250132,0.2594921215307948,1.1817023075243176,0.22351949002250132,1.2239001144489399,0.035972631508293496,-0.04219780692462227,0.0018226373431606037,0.08700923691984928,-0.1304005559832559,0.01903781625114931
6.28,1.2264380654145202,-0.211688039620125,0.24809356808334157,1.1845692299616921,0.211688039620125,1.2264380654145202,0.03640552846321657,-0.041868835452828046,0.0005176580461806644,0.08719327448210981,-0.13058921452657046,0.017768570175708653
6.29,1.2288618738706343,-0.19982846886758623,0.2366637983642138,1.187326328321575,0.19982846886758623,1.2288618738706343,0.03683532949662757,-0.04153554554905936,-0.0007891469473707501,0.08736460832336346,-0.13076568241039765,0.016497130823522888
6.3,1.231171232937882,-0.18794187769289394,0.22520386956800842,1.189973266878145,0.18794187769289394,1.231171232937882,0.037261991875114475,-0.04119796605973702,-0.002097655602027233,0.08752321709858027,-0.13092993445977258,0.015223615884360164
6.3100000000000005,1.23336584632676,-0.1760293693305101,0.2137148424619864,1.192509720072282,0.1760293693305101,1.23336584632676,0.0376854731314763,-0.04085612625447799,-0.003407745636566262,0.08766908064105065,-0.13108194662050923,0.013948143327604967
6.32,1.2354454283728922,-0.1640920502194934,0.20219778128939847,1.194935372549277,0.1640920502194934,1.2354454283728922,0.03810573106990506,-0.04051005582361511,-0.004719294534437478,0.0878021799651324,-0.13122169592055238,0.01267083139151648
6.33,1.2374097040713126,-0.15213102990127042,0.1906537536715856,1.1972499191956043,0.15213102990127042,1.2374097040713126,0.03852272377031518,-0.04015978487570826,-0.006032179554977254,0.08792249726888098,-0.13134916061180701,0.011391798571987799
6.34,1.239258409109751,-0.14014742091704385,0.17908383050770493,1.199453065174747,0.14014742091704385,1.239258409109751,0.03893640959066108,-0.0398053439350039,-0.007346277746673563,0.08803001593657216,-0.13146432007697872,0.010111163611718155
6.3500000000000005,1.2409912899009,-0.12814233870484726,0.1674890858781033,1.2015445259620872,0.12814233870484726,1.2409912899009,0.039346747173256036,-0.039446763938812746,-0.008661465956516888,0.08812472054111534,-0.13156715477505243,0.008829045488973897
6.36,1.242608103613759,-0.11611690149625553,0.15587059694435748,1.2035240273788332,0.11611690149625553,1.242608103613759,0.03975369544810195,-0.039084076234925824,-0.009977620842174673,0.08820659684635165,-0.13165764637591698,0.007545563406716305
6.37,1.2441086182039334,-0.10407223021276094,0.1442294438492411,1.20539130562501,0.10407223021276094,1.2441086182039334,0.04015721363648017,-0.0387173125789233,-0.01129461888403517,0.08827563180924965,-0.13173577775157774,0.0062608367813474786
6.38,1.2454926124429444,-0.09200944836182398,0.1325667096163865,1.207146107311476,0.09200944836182398,1.2454926124429444,0.04055726125456252,-0.03834650513146842,-0.01261233639720617,0.0883318135819786,-0.1318015328509421,0.004974985231447349
6.390000000000001,1.2467598759465368,-0.07992968193260902,0.12088348005210142,1.208788189490991,0.07992968193260902,1.2467598759465368,0.0409537981194924,-0.03797168645554572,-0.013930649541054071,0.08837513151387859,-0.13185489678849704,0.003688128566778026
6.4,1.247910209202022,-0.06783405929141383,0.10918084364253641,1.2103173196883144,0.06783405929141383,1.247910209202022,0.04134678435112259,-0.03759288951370765,-0.015249434332976174,0.0884055761533142,-0.13189585588290476,0.002400386777228647
6.41,1.2489434235945442,-0.0557237110768032,0.09745989145419258,1.211733275929342,0.0557237110768032,1.2489434235945442,0.04173618037738938,-0.03721014766520225,-0.01656856665871211,0.08842313924942316,-0.1319243975374189,0.0011118800215381697
