t,x,z,v_x,v_z,u_x,u_z,w_x,w_z,H_x,H_z,H'_x,H'_z,F_x,F_z
8.58,-0.6365818715225163,1.1892102443208663,-1.1758932337890968,-0.5762865979290964,-1.1892102443208663,-0.6365818715225163,0.01331701053176948,0.06029527359341991,-0.13096616986577894,-0.12251980649330209,0.07484663927713697,-0.1187557262065253,0.07484767771922562,-0.11875770924632635
8.59,-0.6483146635824405,1.1833893859582267,-1.1706461254864688,-0.5878772481278013,-1.1833893859582267,-0.6483146635824405,0.012743260471757889,0.06043741545463921,-0.1302116996772796,-0.12370396553964985,0.07604425790034863,-0.11807014815062722,0.07604531589778807,-0.11807212170409026
8.6,-0.6599944136778907,1.1774528577622423,-1.1652849112464345,-0.5994203772710197,-1.1774528577622423,-0.6599944136778907,0.01216794651580777,0.06057403640687098,-0.129445284707772,-0.12488120945631458,0.07723553685304818,-0.11737272901805618,0.0772366142848357,-0.11737469289276346
8.61,-0.6716199828784788,1.1714011405570335,-1.1598100187065905,-0.6109148632734344,-1.1714011405570335,-0.6716199828784788,0.011591121850442976,0.06070511960504443,-0.12866698894021866,-0.12605142012001092,0.0784203593560342,-0.11666352688051873,0.07842145612155747,-0.11666548088459976
8.620000000000001,-0.6831902365853385,1.1652347263685623,-1.1542218865271998,-0.6223595878696879,-1.1652347263685623,-0.6831902365853385,0.011012839841362476,0.06083064871565058,-0.12787687752065122,-0.1272144799939251,0.0795986090802856,-0.11594260096062037,0.07959972517804711,-0.11594454490278526
8.63,-0.6947040446411733,1.1589541183858985,-1.1485209643573726,-0.6337534367225429,-1.1589541183858985,-0.6947040446411733,0.010433154028525848,0.060950607918630384,-0.12707501675861285,-0.12837027213922347,0.08077017047003832,-0.11521001162637656,0.08077130576463913,-0.11521194531664537
8.64,-0.7061602814399818,1.1525598309213876,-1.14270771280017,-0.6450952995307607,-1.1525598309213876,-0.7061602814399818,0.009852118121217668,0.06106498190922105,-0.1262614741112505,-0.12951868022645258,0.0819349284564499,-0.11446582038730746,0.08193608274319904,-0.11446774363673647
8.65,-0.7175578260364107,1.1460523893697638,-1.1367826033766646,-0.6563840701366591,-1.1460523893697638,-0.7175578260364107,0.009269785993099244,0.0611737558997516,-0.1254363181894839,-0.13065958854696957,0.08309276819119304,-0.11371008989038867,0.08309394153837123,-0.11371200250983145
8.66,-0.7288955622547608,1.1394323301661704,-1.1307461184889374,-0.6676186466333687,-1.1394323301661704,-0.7288955622547608,0.008686211677233047,0.06127691562139215,-0.12459961874742667,-0.13179288202426032,0.08424357585658182,-0.11294288391181873,0.08424476814878168,-0.11294478571378873
8.67,-0.740172378797592,1.1327002007431204,-1.1245987513820264,-0.6787979314717382,-1.1327002007431204,-0.740172378797592,0.008101449361094026,0.06137444732585384,-0.12375144667235229,-0.1329184462252059,0.08538723808574478,-0.1121642673544212,0.08538844915819105,-0.11216615815231562
8.68,-0.7513871693539713,1.1258565594863874,-1.1183410061048245,-0.6899208315669274,-1.1258565594863874,-0.7513871693539713,0.007515553381562956,0.06146633778704391,-0.1228918739857118,-0.13403616737134869,0.08652364198214002,-0.11137430624172229,0.08652487174660493,-0.11137618584962115
8.69,-0.7625388327073053,1.1189019756898266,-1.1119733974699286,-0.7009862584046356,-1.1189019756898266,-0.7625388327073053,0.006928578219898007,0.061552574302669694,-0.12202097383270952,-0.1351459323500403,0.0876526753181146,-0.11057306771200093,0.08765392370133149,-0.11057493594495602
8.700000000000001,-0.7736262728427765,1.111837029509142,-1.1054964510124483,-0.7119931281469807,-1.111837029509142,-0.7736262728427765,0.006340578496693672,0.06163314469579584,-0.12113882047934939,-0.13624762872558885,0.08877422655868816,-0.10976062001302811,0.08877549342799122,-0.10976247668704765
8.71,-0.7846483990543504,1.1046623119145993,-1.098910702947778,-0.722940361737998,-1.1046623119145993,-0.7846483990543504,0.005751608966821253,0.06170803731635233,-0.12024548930153564,-0.13734114475030101,0.08988818476121718,-0.10893703249609032,0.08988946996147627,-0.10893887742842617
8.72,-0.7956041260513707,1.0973784246426723,-1.0922167001283194,-0.7338268850087757,-1.0973784246426723,-0.7956041260513707,0.005161724514352928,0.061777241042594966,-0.11934105678412509,-0.13842636937551062,0.09099443948710828,-0.10810237561118008,0.09099574297685538,-0.10810420861963799
8.73,-0.8064923740647103,1.089985980146649,-1.0854149999991776,-0.7446516287821966,-1.089985980146649,-0.8064923740647103,0.004570980147471371,0.06184074528251371,-0.1184256005117935,-0.13950319226252456,0.09209288111858882,-0.10725672089986293,0.09209420280023084,-0.10725854180335728
8.74,-0.8173120689524637,1.0824856015462008,-1.0785061705528391,-0.7554135289772658,-1.0824856015462008,-0.8173120689524637,0.003979430993361621,0.0618985399751979,-0.11749919916175335,-0.14057150379350783,0.09318340070274278,-0.10640014098966422,0.093184740419535,-0.10640194960838804
8.75,-0.8280621423051939,1.0748779225758909,-1.0714907902827986,-0.7661115267130483,-1.0748779225758909,-0.8280621423051939,0.0033871322930922876,0.06195061559214565,-0.11656193249773869,-0.1416311950823178,0.09426588981803885,-0.10553270958868044,0.09426724749527739,-0.10553450574355853
8.76,-0.838741531550708,1.067163587532662,-1.064369448136184,-0.7767445684121786,-1.067163587532662,-0.838741531550708,0.0027941393964778793,0.061996963138529315,-0.1156138813653926,-0.1426821579852814,0.09534024086096515,-0.10465450147839572,0.0953416163712317,-0.10465628499151047
8.77,-0.8493491800583528,1.059343251222284,-1.0571427434653522,-0.7873116059039444,-1.059343251222284,-0.8493491800583528,0.0022005077569318132,0.06203757415440836,-0.11465512768051943,-0.14372428511188567,0.0964063468981795,-0.10376559250786688,0.09640774008506829,-0.10376736320238354
8.78,-0.8598840372428148,1.0514175789047708,-1.0498112859784703,-0.7978115965269221,-1.0514175789047708,-0.8598840372428148,0.0016062929263005454,0.062072440715892685,-0.11368575442742906,-0.1447574698354387,0.09746410155950613,-0.10286605958746797,0.09746551237892703,-0.10286781728739307
8.790000000000001,-0.8703450586674413,1.043387246238776,-1.0423756956890833,-0.8082435032311832,-1.043387246238776,-0.8703450586674413,0.001011550549692819,0.06210155543625806,-0.11270584564932917,-0.14578160630363518,0.09851339940481374,-0.10195598068146605,0.0985148277099334,-0.10195772521230363
8.8,-0.8807312061470149,1.0352529392249763,-1.0348366028646883,-0.8186062946800048,-1.0352529392249763,-0.8807312061470149,0.0004163363602880388,0.06212491146701016,-0.11171548643933266,-0.14679658944906815,0.09955413561573412,-0.10103543480258992,0.09955558126064784,-0.10103716599080002
8.81,-0.8910414478500545,1.027015354148425,-1.0271946479742866,-0.8288989453511552,-1.027015354148425,-0.8910414478500545,-0.0001792938258615706,0.0621425024988993,-0.11071476293701453,-0.14780231499968693,0.10058620607387603,-0.10010450200460141,0.10058766894946249,-0.10010621967775302
8.82,-0.9012747584005496,1.0186751975199042,-1.0194504816349463,-0.8391204356376663,-1.0186751975199042,-0.9012747584005496,-0.0007752841150421297,0.06215432276288335,-0.10970376231785518,-0.14879867948916015,0.10160950752744036,-0.09916326337530368,0.1016109874409294,-0.0991649673623829
8.83,-0.911430118979177,1.0102331860162712,-1.0116047645573722,-0.8492697519481344,-1.0102331860162712,-0.911430118979177,-0.0013715785411010373,0.06216036703104266,-0.10868257278646577,-0.14978558026719296,0.10262393731561836,-0.0982118010304287,0.10262543415602901,-0.09821349116131987
8.84,-0.9215065174239571,1.001690046419805,-1.003658167490483,-0.8593458868065129,-1.001690046419805,-0.9215065174239571,-0.0019681210706778973,0.062160630617444146,-0.10765128357154286,-0.15076291550976867,0.10362939353966727,-0.09725019810601676,0.10363090728236911,-0.09725187421156502
8.85,-0.9315029483303536,0.993046515556556,-0.9956113711650021,-0.8693478389514027,-0.993046515556556,-0.9315029483303536,-0.002564855608446104,0.06215510937895097,-0.10660998491567247,-0.15173058422931326,0.10462577535902984,-0.09627853875053027,0.10462730578432701,-0.09628020066334765
8.86,-0.9414184131508141,0.984303340233696,-0.9874650662360651,-0.879274613434825,-0.984303340233696,-0.9414184131508141,-0.0031617260023690807,0.062143799715989045,-0.1055587680643623,-0.15268848628477924,0.10561298250441276,-0.09529690811894298,0.10561452941311647,-0.0952985556728816
8.870000000000001,-0.9512519202937129,0.9754612771759068,-0.9792199532248609,-0.8891252217204578,-0.9754612771759068,-0.9512519202937129,-0.0037586760489540794,0.062126698573255035,-0.10449772526558407,-0.15363652239169226,0.1065909153072786,-0.09430539236555813,0.10659247871679237,-0.09430702539502633
8.88,-0.961002485221716,0.9665210929607683,-0.970876742459296,-0.8988986817813369,-0.9665210929607683,-0.961002485221716,-0.004355649498527736,0.062103803440379135,-0.10342694975821659,-0.15457459413209054,0.10755947529107868,-0.09330407863472345,0.10756105505018632,-0.09330569697584203
8.89,-0.9706691305495564,0.9574835639531752,-0.962436154013684,-0.908594018197024,-0.9574835639531752,-0.9706691305495564,-0.004952590060508744,0.06207511235253238,-0.10234653575976253,-0.1555026039643867,0.10851856471327448,-0.09229305505468943,0.10852016058477162,-0.09229465854505116
8.9,-0.9802508861411852,0.948349476238792,-0.9538989176474872,-0.918210262250198,-0.948349476238792,-0.9802508861411852,-0.005549441408695288,0.06204062389098719,-0.10125657846395116,-0.1564204552331843,0.1094680864204749,-0.0912724107303502,0.10946969831845992,-0.09127399920839975
8.91,-0.9897467892063149,0.9391196255565415,-0.9452657727430962,-0.9277464520226897,-0.9391196255565415,-0.9897467892063149,-0.006146147186554707,0.06200033718362519,-0.10015717403135307,-0.15732805217899365,0.11040794428606482,-0.09024223573428891,0.11040957208532327,-0.09024380903992126
8.92,-0.9991558843963366,0.9297948172301305,-0.9365374682426538,-0.9372016324909475,-0.9297948172301305,-0.9991558843963366,-0.00674265101252336,0.06195425190538917,-0.09904841957822991,-0.15822529994787002,0.11133804303796957,-0.08920262109961197,0.11133968656524935,-0.08920417907410522
8.93,-1.008477223899593,0.9203758660986371,-0.9277147625839468,-0.9465748556208984,-0.9203758660986371,-1.008477223899593,-0.0073388964853097205,0.06190236827869455,-0.09793041317059374,-0.15911210460098585,0.11225828812199534,-0.08815365881219961,0.11225994729351679,-0.0881552012979673
8.94,-1.0177098675360092,0.9108635964461385,-0.9187984236353418,-0.9558651804622338,-0.9108635964461385,-1.0177098675360092,-0.007934827189203353,0.06184468707377544,-0.09680325381579004,-0.159988373124114,0.11316858600639623,-0.08709544180201068,0.1131702606703023,-0.08709696864302717
8.950000000000001,-1.0268528828510781,0.9012588419304033,-0.9097892286297949,-0.9650716732420845,-0.9012588419304033,-1.0268528828510781,-0.008530386699391657,0.06178120960899358,-0.09566704145046566,-0.16085401343702616,0.114068844039517,-0.0860280639354869,0.11407053397010891,-0.08602957497718883
8.96,-1.0359053452091602,0.891562445510659,-0.9006879640979352,-0.974193407458076,-0.891562445510659,-1.0359053452091602,-0.009125518587276171,0.06171193775108419,-0.09452187693499954,-0.16170893440282383,0.11495897023493562,-0.08495162000771117,0.11496067535111865,-0.08495311509652849
8.97,-1.0448663378861327,0.8817752593744139,-0.891495425800213,-0.9832294639707765,-0.8817752593744139,-1.0448663378861327,-0.009720166425799093,0.061636873915356216,-0.09336786204576701,-0.16255304583718033,0.11583887372670354,-0.0838662057328392,0.11584059386447158,-0.0838676847169896
8.98,-1.0537349521613382,0.8718981448633767,-0.8822124186581433,-0.9921789310954985,-0.8718981448633767,-1.0537349521613382,-0.01031427379476657,0.06155602106583968,-0.09220509946046551,-0.1633862585174806,0.1167084645449421,-0.08277191773682446,0.1167101994634623,-0.08277338046598304
