t,x,z,xdot,zdot
1.01,-1.0119956277526574,-0.3295539746220702,-1.0019758690620386,-0.383303654463397
1.0150000000000001,-1.0170055070979676,-0.33147053273990434,-1.0019758690620386,-0.38331951884098403
1.02,-1.0220153864432777,-0.33338716888616576,-1.0019758690620386,-0.3833348682309509
1.025,-1.0270252657885879,-0.33530388052790455,-1.0019758690620386,-0.3833497193507672
1.03,-1.032035145133898,-0.3372206652143951,-1.0019758690620386,-0.3833640883752219
1.035,-1.0370450244792082,-0.339137520574467,-1.0019758690620386,-0.3833779909540397
1.04,-1.0420549038245184,-0.3410544443139225,-1.0019758690620386,-0.38339144222892574
1.045,-1.0470647831698285,-0.34297143421303783,-1.0019758690620386,-0.38340445685005703
1.05,-1.0520746625151387,-0.34488848812414563,-1.0019758690620386,-0.383417048992038
1.055,-1.0570845418604489,-0.3468056039692959,-1.0019758690620386,-0.38342923236933873
1.06,-1.062094421205759,-0.34872277973799276,-1.0019758690620386,-0.38344102025123183
1.065,-1.0671043005510692,-0.3506400134850049,-1.0019758690620386,-0.3834524254762442
1.07,-1.0721141798963794,-0.3525573033282468,-1.0019758690620386,-0.38346346046613994
1.075,-1.0771240592416895,-0.3544746474467291,-1.0019758690620386,-0.3834741372394493
1.08,-1.0821339385869997,-0.35639204407857505,-1.0019758690620386,-0.3834844674245583
1.085,-1.0871438179323099,-0.35830949151910185,-1.0019758690620386,-0.38349446227237366
1.09,-1.09215369727762,-0.3602269881189639,-1.0019758690620386,-0.3835041326685765
1.095,-1.0971635766229302,-0.36214453228235644,-1.0019758690620386,-0.3835134891454782
1.1,-1.1021734559682403,-0.3640621224652775,-1.0019758690620386,-0.38352254189349133
1.105,-1.1071833353135505,-0.3659797571738465,-1.0019758690620386,-0.3835313007722285
1.11,-1.1121932146588607,-0.36789743496267685,-1.0019758690620386,-0.38353977532124073
1.115,-1.1172030940041708,-0.369815154433302,-1.0019758690620386,-0.3835479747704072
1.12,-1.122212973349481,-0.37173291423265226,-1.0019758690620386,-0.3835559080499878
1.125,-1.1272228526947912,-0.37365071305158115,-1.0019758690620386,-0.3835635838003493
1.1300000000000001,-1.1322327320401013,-0.3755685496234396,-1.0019758690620386,-0.3835710103813759
1.135,-1.1372426113854115,-0.3774864227226963,-1.0019758690620386,-0.3835781958815743
1.1400000000000001,-1.1422524907307217,-0.37940433116360295,-1.0019758690620386,-0.3835851481268829
1.145,-1.1472623700760318,-0.38132227379890293,-1.0019758690620386,-0.38359187468919526
1.1500000000000001,-1.152272249421342,-0.38324024951858177,-1.0019758690620386,-0.38359838289460724
1.155,-1.1572821287666522,-0.3851582572486581,-1.0019758690620386,-0.3836046798313957
1.16,-1.1622920081119623,-0.3870762959500141,-1.0019758690620386,-0.38361077235773855
1.165,-1.1673018874572725,-0.38899436461726355,-1.0019758690620386,-0.3836166671091845
1.17,-1.1723117668025826,-0.3909124622776571,-1.0019758690620386,-0.3836223705058798
1.175,-1.1773216461478928,-0.39283058799002246,-1.0019758690620386,-0.38362788875956044
1.18,-1.182331525493203,-0.39474874084373984,-1.0019758690620386,-0.38363322788031806
1.185,-1.1873414048385131,-0.3966669199577497,-1.0019758690620386,-0.3836383936831451
1.19,-1.1923512841838233,-0.3985851244795935,-1.0019758690620386,-0.3836433917942686
1.195,-1.1973611635291335,-0.4005033535844849,-1.0019758690620386,-0.3836482276572775
1.2,-1.2023710428744436,-0.40242160647441194,-1.0019758690620386,-0.38365290653905165
1.205,-1.2073809222197538,-0.4043398823772674,-1.0019758690620386,-0.383657433535498
1.21,-1.212390801565064,-0.40625818054600826,-1.0019758690620386,-0.3836618135771009
1.215,-1.2174006809103741,-0.40817650025784186,-1.0019758690620386,-0.3836660514342916
1.22,-1.2224105602556843,-0.4100948408134388,-1.0019758690620386,-0.3836701517226444
1.225,-1.2274204396009945,-0.41201320153617116,-1.0019758690620386,-0.3836741189079032
1.23,-1.2324303189463046,-0.41393158177137573,-1.0019758690620386,-0.38367795731084553
1.235,-1.2374401982916148,-0.41584998088564085,-1.0019758690620386,-0.3836816711119883
1.24,-1.242450077636925,-0.41776839826611656,-1.0019758690620386,-0.383685264356141
1.245,-1.247459956982235,-0.41968683331984724,-1.0019758690620386,-0.38368874095681077
1.25,-1.2524698363275453,-0.4216052854731257,-1.0019758690620386,-0.3836921047004652
1.2550000000000001,-1.2574797156728554,-0.4235237541708684,-1.0019758690620386,-0.3836953592506559
1.26,-1.2624895950181656,-0.4254422388760108,-1.0019758690620386,-0.3836985081520086
1.2650000000000001,-1.2674994743634758,-0.42736073906892247,-1.0019758690620386,-0.3837015548340839
1.27,-1.272509353708786,-0.42927925424684127,-1.0019758690620386,-0.38370450261511235
1.2750000000000001,-1.277519233054096,-0.43119778392332553,-1.0019758690620386,-0.38370735470560846
1.28,-1.2825291123994063,-0.43311632762772456,-1.0019758690620386,-0.3837101142118674
1.285,-1.2875389917447164,-0.43503488490466574,-1.0019758690620386,-0.3837127841393482
1.29,-1.2925488710900266,-0.4369534553135587,-1.0019758690620386,-0.3837153673959468
1.295,-1.2975587504353367,-0.4388720384281156,-1.0019758690620386,-0.3837178667951637
1.3,-1.302568629780647,-0.4407906338358866,-1.0019758690620386,-0.38372028505916755
1.305,-1.307578509125957,-0.4427092411378108,-1.0019758690620386,-0.3837226248217605
1.31,-1.3125883884712672,-0.4446278599477815,-1.0019758690620386,-0.38372488863124643
1.315,-1.3175982678165774,-0.4465464898922258,-1.0019758690620386,-0.3837270789532064
1.32,-1.3226081471618876,-0.4484651306096977,-1.0019758690620386,-0.3837291981731841
1.325,-1.3276180265071977,-0.45038378175048444,-1.0019758690620386,-0.38373124859928404
1.33,-1.332627905852508,-0.4523024429762255,-1.0019758690620386,-0.3837332324646852
1.335,-1.337637785197818,-0.45422111395954434,-1.0019758690620386,-0.38373515193007346
1.34,-1.3426476645431282,-0.4561397943836915,-1.0019758690620386,-0.3837370090859947
1.345,-1.3476575438884384,-0.4580584839421999,-1.0019758690620386,-0.3837388059551317
1.35,-1.3526674232337486,-0.45997718233855095,-1.0019758690620386,-0.3837405444945073
1.355,-1.3576773025790587,-0.46189588928585157,-1.0019758690620386,-0.3837422265976154
1.36,-1.3626871819243689,-0.46381460450652184,-1.0019758690620386,-0.38374385409648387
1.365,-1.367697061269679,-0.4657333277319926,-1.0019758690620386,-0.38374542876366924
1.37,-1.3727069406149892,-0.4676520587024129,-1.0019758690620386,-0.3837469523141876
1.375,-1.3777168199602994,-0.46957079716636707,-1.0019758690620386,-0.3837484264073824
1.3800000000000001,-1.3827266993056095,-0.47148954288060085,-1.0019758690620386,-0.3837498526487316
1.385,-1.3877365786509197,-0.47340829560975656,-1.0019758690620386,-0.3837512325915965
1.3900000000000001,-1.3927464579962299,-0.4753270551261165,-1.0019758690620386,-0.3837525677389131
1.395,-1.39775633734154,-0.4772458212093553,-1.0019758690620386,-0.3837538595448294
1.4000000000000001,-1.4027662166868502,-0.47916459364629965,-1.0019758690620386,-0.38375510941628904
1.405,-1.4077760960321604,-0.4810833722306963,-1.0019758690620386,-0.38375631871456356
1.41,-1.4127859753774705,-0.48300215676298736,-1.0019758690620386,-0.3837574887567351
1.415,-1.4177958547227807,-0.4849209470500929,-1.0019758690620386,-0.3837586208171308
1.42,-1.4228057340680909,-0.4868397429052009,-1.0019758690620386,-0.38375971612871074
1.425,-1.427815613413401,-0.48875854414756337,-1.0019758690620386,-0.3837607758844108
1.43,-1.4328254927587112,-0.49067735060229994,-1.0019758690620386,-0.38376180123844195
1.435,-1.4378353721040213,-0.49259616210020707,-1.0019758690620386,-0.38376279330754715
1.44,-1.4428452514493315,-0.494514978477574,-1.0019758690620386,-0.38376375317221795
